Name,KM,Fuel Type,Manufacturing Year,Registration Year,No of Owners,Transmission,Color,Location,Engine Capacity (cc),Mileage (kmpl),Length (mm),Width (mm),Height (mm),Wheelbase (mm),Seating Capacity,Fuel Tank Capacity (L),Seat Belt Warning,Heater,Cruise Control,Child Safety Lock,Speed Sensing Door Lock,Rain-sensing Wipers,Rear Wiper,New Car Price (Lakh),Old Car Price (Lakh),IMG
2019 Audi A3 35 TFSI Premium Plus,81000,Petrol,2019,2019,First,Automatic,Grey,"Bodakdev, Ahmedabad",1395.0,,4456,1796,1416,2637,5,50.0,1,1,1,1,1,1,0,32.96,16.24,https://imgd.aeplcdn.com/640X480/vimages/202607/4652224_53026_1_1782987776934.jpg?qp=80&fit=true
2015 Audi A4 2.0 TDI (177bhp) Premium Plus,75000,Diesel,2015,2015,First,Automatic,Red,"Kalupur, Ahmedabad",1968.0,17.11,4701,1826,1427,2808,5,63.0,1,1,1,1,1,1,0,43.4,11.45,https://imgd.aeplcdn.com/640X480/vimages/202606/4616729_7888_1_1781441476273.jpg?qp=80&fit=true
2017 Audi A4 35 TDI Technology,52412,Diesel,2017,2017,First,Automatic,Black,"Makarba, Ahmedabad",1968.0,17.84,4726,1842,1427,2820,5,54.0,1,1,1,1,1,1,0,52.77,17.91,https://imgd.aeplcdn.com/640X480/vimages/202606/4621521_6145_1_1781684225578.jpg?qp=80&fit=true
2021 Audi A4 Premium Plus 40 TFSI [2021-2024],53000,Petrol,2021,2021,First,Automatic,White,"Bodakdev, Ahmedabad",1984.0,17.4,4762,1847,1433,2819,5,54.0,1,1,1,1,1,1,0,57.55,27.95,https://imgd.aeplcdn.com/640X480/vimages/202606/4606905_53026_1781088325874.jpeg?qp=80&fit=true
2023 Audi A4 Technology 40 TFSI [2022-2024],33000,Petrol,2023,2023,First,Automatic,White,"Jivraj Park, Ahmedabad",1984.0,17.4,4762,1847,1433,2819,5,54.0,1,1,1,1,1,1,0,61.96,35.65,https://imgd.aeplcdn.com/640X480/vimages/202606/4617489_133865_1_1781505454961.jpg?qp=80&fit=true
2022 Audi A4 Premium 40 TFSI [2021-2024],43000,Petrol,2022,2023,First,Automatic,Blue,"Bodakdev, Ahmedabad",1984.0,17.4,4762,1847,1433,2819,5,54.0,1,1,1,1,1,1,0,52.3,30.05,https://imgd.aeplcdn.com/640X480/vimages/202606/4606876_53026_1781089327428.jpeg?qp=80&fit=true
2023 Audi A4 Technology 40 TFSI [2022-2024],32000,Petrol,2023,2023,First,Automatic,White,"Jivraj Park, Ahmedabad",1984.0,17.4,4762,1847,1433,2819,5,54.0,1,1,1,1,1,1,0,61.96,35.62,https://imgd.aeplcdn.com/640X480/vimages/202607/4654622_133865_1_1783083101410.jpg?qp=80&fit=true
2020 Audi A6 Technology 45 TFSI [2019-2024],38897,Petrol,2020,2020,First,Automatic,Black,"Makarba, Ahmedabad",1984.0,14.0,4939,1886,1470,2924,5,73.0,1,1,1,1,1,1,0,77.63,37.85,https://imgd.aeplcdn.com/640X480/vimages/202605/4571244_6145_1_1779364435921.jpg?qp=80&fit=true
2023 Audi A6 Technology 45 TFSI [2019-2024],83781,Petrol,2023,2024,First,Automatic,Grey,"Bodakdev, Ahmedabad",1984.0,14.0,4939,1886,1470,2924,5,73.0,1,1,1,1,1,1,0,77.63,41.58,https://imgd.aeplcdn.com/640X480/vimages/202606/4608945_53026_1781088999029.jpeg?qp=80&fit=true
2014 Audi A6 35 TDI Premium,108000,Diesel,2014,2014,First,Automatic,White,"Bodakdev, Ahmedabad",1968.0,16.66,4915,1874,1455,2912,5,65.0,1,1,1,1,1,1,0,54.83,10.13,https://imgd.aeplcdn.com/640X480/vimages/202606/4609043_53026_1781090808811.jpeg?qp=80&fit=true
2016 Audi A6 35 TDI Matrix,87120,Diesel,2016,2017,Second,Automatic,Blue,"Vastrapur, Ahmedabad",1968.0,16.66,4933,1874,1455,2912,5,75.0,1,1,1,1,1,1,0,57.28,14.68,https://imgd.aeplcdn.com/640X480/vimages/202607/4597495_156728_1782980786411.jpeg?qp=80&fit=true
2013 Audi A8 L 3.0 TDI quattro,46300,Diesel,2013,2013,Second,Automatic,White,"Vastrapur, Ahmedabad",2967.0,15.5,5267,1949,1471,3122,4,90.0,1,1,1,1,0,1,1,126.0,22.64,https://imgd.aeplcdn.com/640X480/vimages/202607/4624323_156728_1782885478020.jpg?qp=80&fit=true
2020 Audi Q2 Premium 40 TFSI quattro,24000,Petrol,2020,2020,Second,Automatic,White,"Ambli, Ahmedabad",1984.0,15.3,4318,1805,1548,2593,5,55.0,1,1,0,1,1,0,1,46.72,21.39,https://imgd.aeplcdn.com/640X480/vimages/202606/4624566_16599_1_1781789778416.jpg?qp=80&fit=true
2017 Audi Q3 30 TDI Premium FWD,75000,Diesel,2017,2017,First,Automatic,White,"Vastrapur, Ahmedabad",1968.0,18.51,4385,1831,1608,2603,5,64.0,1,1,1,1,1,1,0,40.93,16.15,https://imgd.aeplcdn.com/640X480/vimages/202607/4624360_156728_1782885770880.jpg?qp=80&fit=true
2015 Audi Q3 35 TDI Premium,71300,Diesel,2015,2015,Second,Automatic,Grey,"Vastrapur, Ahmedabad",1968.0,15.77,4385,1831,1608,2603,5,64.0,1,1,1,1,0,1,0,37.48,11.41,https://imgd.aeplcdn.com/640X480/vimages/202607/4652423_156728_1782991192725.jpg?qp=80&fit=true
2018 Audi Q3 30 TDI Premium FWD,75831,Diesel,2018,2018,First,Automatic,Black,"Makarba, Ahmedabad",1968.0,18.51,4385,1831,1608,2603,5,64.0,1,1,1,1,1,1,0,40.93,18.15,https://imgd.aeplcdn.com/640X480/vimages/202605/4571320_6145_1_1779366051613.jpg?qp=80&fit=true
2025 Audi Q5 Technology 45 TFSI,7000,Petrol,2025,2025,First,Automatic,White,"Thaltej, Ahmedabad",1984.0,13.4,4682,1893,1655,2827,5,70.0,1,1,1,1,1,1,0,77.56,59.48,https://imgd.aeplcdn.com/640X480/vimages/202605/4555034_6434_1_1778735431278.jpg?qp=80&fit=true
2017 Audi Q5 30 TDI Technology Pack,95000,Diesel,2017,2018,Second,Automatic,White,"Vastrapur, Ahmedabad",2967.0,12.37,4629,1898,1653,2807,5,75.0,1,1,1,1,0,1,0,71.44,20.61,https://imgd.aeplcdn.com/640X480/vimages/202607/4651505_156728_1782975454309.jpg?qp=80&fit=true
2016 Audi Q5 2.0 TDI quattro Premium,89000,Diesel,2016,2016,First,Automatic,Black,"Ambli, Ahmedabad",1968.0,12.8,4629,1898,1653,2807,5,75.0,1,1,1,1,0,1,0,56.31,14.92,https://imgd.aeplcdn.com/640X480/vimages/202607/4664717_16599_1_1783587415054.jpg?qp=80&fit=true
2017 Audi Q7 45 TDI Premium Plus,131371,Diesel,2017,2017,First,Automatic,White,"Vastrapur, Ahmedabad",2967.0,14.75,5052,1968,1740,2994,7,75.0,1,1,1,1,1,1,1,80.87,25.16,https://imgd.aeplcdn.com/640X480/vimages/202607/4597271_156728_1782979168391.jpg?qp=80&fit=true
